           flux         loglam           ivar
              E              E              E
                                             
   1.192925E+01   3.614300E+00   2.032848E-01
   1.185185E+01   3.614400E+00   2.093129E-01
   1.602367E+01   3.614500E+00   2.029099E-01
   1.582761E+01   3.614600E+00   2.138123E-01
   1.244398E+01   3.614700E+00   2.321298E-01
   1.396982E+01   3.614800E+00   2.321059E-01
   1.578470E+01   3.614900E+00   2.209372E-01
   1.523293E+01   3.615000E+00   2.089968E-01
   1.372672E+01   3.615100E+00   1.973794E-01
   6.989431E+00   3.615200E+00   2.087913E-01
   1.587653E+01   3.615300E+00   1.807415E-01
   1.200175E+01   3.615400E+00   1.981031E-01
   1.532426E+01   3.615500E+00   1.986244E-01
   1.493410E+01   3.615600E+00   2.060840E-01
   1.377499E+01   3.615700E+00   2.154009E-01
   1.315934E+01   3.615800E+00   2.104039E-01
   1.336298E+01   3.615900E+00   2.080384E-01
   1.383142E+01   3.616000E+00   2.054318E-01
   1.314223E+01   3.616100E+00   2.098371E-01
   1.258764E+01   3.616200E+00   2.110763E-01
   1.276613E+01   3.616300E+00   2.095343E-01
   1.014707E+01   3.616400E+00   2.272932E-01
   1.447519E+01   3.616500E+00   2.206163E-01
   1.895653E+01   3.616600E+00   2.087167E-01
   1.263602E+01   3.616700E+00   2.391451E-01
   9.394356E+00   3.616800E+00   2.577391E-01
   1.288299E+01   3.616900E+00   2.437459E-01
   1.157919E+01   3.617000E+00   2.460354E-01
   1.138513E+01   3.617100E+00   2.430153E-01
   1.518554E+01   3.617200E+00   2.272422E-01
   1.422362E+01   3.617300E+00   2.391176E-01
   1.195733E+01   3.617400E+00   2.536390E-01
   1.577208E+01   3.617500E+00   2.421460E-01
   1.028002E+01   3.617600E+00   2.765566E-01
   1.363877E+01   3.617700E+00   2.545398E-01
   1.509053E+01   3.617800E+00   2.455258E-01
   1.485797E+01   3.617900E+00   2.523031E-01
   1.635076E+01   3.618000E+00   2.533358E-01
   1.598440E+01   3.618100E+00   2.594915E-01
   1.500717E+01   3.618200E+00   2.580065E-01
   1.320375E+01   3.618300E+00   2.558256E-01
   1.148353E+01   3.618400E+00   2.526574E-01
   1.391534E+01   3.618500E+00   2.378571E-01
   1.688245E+01   3.618600E+00   2.220402E-01
   1.363166E+01   3.618700E+00   2.308652E-01
   1.406201E+01   3.618800E+00   2.332979E-01
   1.716961E+01   3.618900E+00   2.376202E-01
   1.536469E+01   3.619000E+00   2.373134E-01
   1.434988E+01   3.619100E+00   2.387370E-01
   1.600390E+01   3.619200E+00   2.397342E-01
   1.753893E+01   3.619300E+00   2.424138E-01
   1.930931E+01   3.619400E+00   2.314020E-01
   1.694757E+01   3.619500E+00   2.252045E-01
   1.558599E+01   3.619600E+00   2.224467E-01
   2.074538E+01   3.619700E+00   2.050856E-01
   1.666073E+01   3.619800E+00   2.230019E-01
   1.297473E+01   3.619900E+00   2.441103E-01
   1.428973E+01   3.620000E+00   2.433050E-01
   1.852955E+01   3.620100E+00   2.331055E-01
   1.821996E+01   3.620200E+00   2.362423E-01
   1.603705E+01   3.620300E+00   2.419815E-01
   1.445333E+01   3.620400E+00   2.466859E-01
   1.621413E+01   3.620500E+00   2.471311E-01
   1.600158E+01   3.620600E+00   2.508576E-01
   1.451922E+01   3.620700E+00   2.545342E-01
   1.679383E+01   3.620800E+00   2.447761E-01
   1.895059E+01   3.620900E+00   2.407168E-01
